SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Condo/Co-op,2200 N Central Rd Unit 12H,Fort Lee,NJ,07024,245000,2,2.0,Fort Lee,1550,,,15,158,,Active,,,http://www.redfin.com/NJ/Fort-Lee/2200-N-Central-Rd-07024/unit-12-H/home/79448526,NJMLS,20034316,N,Y,40.8575931,-73.9629134
MLS Listing,,Condo/Co-op,6 Horizon Rd #604,Fort Lee,NJ,07024,128000,1,1.5,Fort Lee,,,,15,,,Active,,,http://www.redfin.com/NJ/Fort-Lee/6-Horizon-Rd-07024/unit-604/home/59915057,NJMLS,20034229,N,Y,40.8407802,-73.9731773
MLS Listing,,Condo/Co-op,1241 Anderson Ave #2,Fort Lee,NJ,07024,119000,1,1.0,Fort Lee,,,,15,,,Active,,,http://www.redfin.com/NJ/Fort-Lee/1241-Anderson-Ave-07024/unit-2/home/109481494,NJMLS,20034205,N,Y,40.840384,-73.981373
MLS Listing,,Condo/Co-op,100 Old Palisade Rd #2001,Fort Lee,NJ,07024,298000,1,1.0,Fort Lee,,,,15,,,Active,,,http://www.redfin.com/NJ/Fort-Lee/100-Old-Palisade-Rd-07024/unit-2001/home/35667801,NJMLS,20034169,N,Y,40.8480159,-73.9658458
MLS Listing,,Condo/Co-op,2077 Center Ave Unit 10K,Fort Lee,NJ,07024,150000,1,1.5,Fort Lee,,,,16,,,Active,,,http://www.redfin.com/NJ/Fort-Lee/2077-Center-Ave-07024/unit-10K/home/170577263,NJMLS,20034086,N,Y,40.8545254,-73.9714784
MLS Listing,,Condo/Co-op,161 Washington Ave,Fort Lee,NJ,07024,649000,3,3.0,Fort Lee,,,,16,,,Active,,,http://www.redfin.com/NJ/Fort-Lee/161-Washington-Ave-07024/home/35739225,NJMLS,20033958,N,Y,40.8634777,-73.9605573
MLS Listing,,Condo/Co-op,100 Old Palisade Rd Unit L7,Fort Lee,NJ,07024,299500,1,1.0,Fort Lee,841,,,17,356,,Active,,,http://www.redfin.com/NJ/Fort-Lee/100-Old-Palisade-Rd-07024/unit-L7/home/35667219,NJMLS,20033946,N,Y,40.8475654,-73.9662054
MLS Listing,,Condo/Co-op,6 Horizon Rd #704,Fort Lee,NJ,07024,147500,1,1.5,Fort Lee,,,,17,,,Active,,,http://www.redfin.com/NJ/Fort-Lee/6-Horizon-Rd-07024/unit-704/home/172757000,NJMLS,20033823,N,Y,40.8407802,-73.9731773
MLS Listing,,Single Family Residential,246 Tremont Ave,Fort Lee,NJ,07024,1529000,5,3.5,Fort Lee,,5001,,17,,,Active,,,http://www.redfin.com/NJ/Fort-Lee/246-Tremont-Ave-07024/home/35735867,NJMLS,20033786,N,Y,40.8446154,-73.9750827
MLS Listing,,Townhouse,367 Lincoln Ave,Fort Lee,NJ,07024,949000,3,3.0,Fort Lee,,,,17,,,Active,,,http://www.redfin.com/NJ/Fort-Lee/367-Lincoln-Ave-07024/home/168862610,NJMLS,20033773,N,Y,40.859015,-73.967963
MLS Listing,,Condo/Co-op,1600 Center Ave Unit 09F,Fort Lee,NJ,07024,269000,1,1.5,Fort Lee,863,,,18,312,,Active,,,http://www.redfin.com/NJ/Fort-Lee/1600-Center-Ave-07024/unit-9F/home/35737849,NJMLS,20033741,N,Y,40.8500612,-73.9736823
MLS Listing,,Multi-Family (2-4 Unit),2159 Linwood Ave,Fort Lee,NJ,07024,989000,6,3.0,Fort Lee,,5001,,18,,,Active,,,http://www.redfin.com/NJ/Fort-Lee/2159-Linwood-Ave-07024/home/35737920,NJMLS,20033732,N,Y,40.8582365,-73.9707039
MLS Listing,,Condo/Co-op,2000 Linwood Ave Unit 20C,Fort Lee,NJ,07024,410000,2,2.0,Fort Lee,,,,18,,,Active,,,http://www.redfin.com/NJ/Fort-Lee/2000-Linwood-Ave-07024/unit-20C/home/144018372,NJMLS,20033638,N,Y,40.8539851,-73.9739119
MLS Listing,,Condo/Co-op,6 Horizon Rd Unit 2909.,Fort Lee,NJ,07024,338000,2,2.0,Fort Lee,1474,,,18,229,,Active,,,http://www.redfin.com/NJ/Fort-Lee/6-Horizon-Rd-07024/unit-2909/home/160566153,NJMLS,20033592,N,Y,40.8407802,-73.9731773
MLS Listing,,Single Family Residential,2074 Jones Rd,Fort Lee,NJ,07024,649000,3,2.5,Fort Lee,,12500,,18,,,Active,September-6-2020 01:00 PM,September-6-2020 03:00 PM,http://www.redfin.com/NJ/Fort-Lee/2074-Jones-Rd-07024/home/35737940,NJMLS,20033593,N,Y,40.8593779,-73.9778376
MLS Listing,,Condo/Co-op,5 Horizon Rd Unit 2903-2905,Fort Lee,NJ,07024,348000,3,2.5,Fort Lee,2000,,,18,174,,Active,,,http://www.redfin.com/NJ/Fort-Lee/5-Horizon-Rd-N-07024/unit-2903-2905/home/102276295,NJMLS,20033544,N,Y,40.8409696,-73.974327
MLS Listing,,Single Family Residential,188 Washington Ave,Fort Lee,NJ,07024,699000,3,1.5,Fort Lee,,3999,,20,,,Active,,,http://www.redfin.com/NJ/Fort-Lee/188-Washington-Ave-07024/home/35739232,NJMLS,20033380,N,Y,40.8638664,-73.961721
MLS Listing,,Condo/Co-op,3071 Edwin Ave Unit 3A,Fort Lee,NJ,07024,163000,1,1.0,Fort Lee,681,,,20,239,,Active,,,http://www.redfin.com/NJ/Fort-Lee/3071-Edwin-Ave-07024/unit-3A/home/172739752,NJMLS,20033375,N,Y,40.8642543,-73.9698996
MLS Listing,,Condo/Co-op,200 Old Palisade Rd Unit 2G,Fort Lee,NJ,07024,760000,3,2.5,Fort Lee,1950,,,21,390,,Active,,,http://www.redfin.com/NJ/Fort-Lee/200-Old-Palisade-Rd-07024/unit-2G/home/35661976,NJMLS,20033274,N,Y,40.8481849,-73.9675296
MLS Listing,,Condo/Co-op,900 Palisade Ave #2302,Fort Lee,NJ,07024,499000,1,1.5,Fort Lee,1560,,,21,320,,Active,,,http://www.redfin.com/NJ/Fort-Lee/900-Palisade-Ave-07024/unit-2302/home/35734330,NJMLS,20033257,N,Y,40.8302199,-73.9789597
MLS Listing,,Condo/Co-op,15 Henry St #2,Fort Lee,NJ,07024,488888,3,2.0,Fort Lee,,,,21,,,Active,,,http://www.redfin.com/NJ/Fort-Lee/15-Henry-St-07024/unit-2/home/35671041,NJMLS,20033254,N,Y,40.8657972,-73.9623417
MLS Listing,,Single Family Residential,1060 Briar Way,Fort Lee,NJ,07024,1375000,5,4.5,Fort Lee,,,,21,,,Active,,,http://www.redfin.com/NJ/Fort-Lee/1060-Briar-Way-07024/home/35734484,NJMLS,20033118,N,Y,40.8326507,-73.9769882
MLS Listing,,Condo/Co-op,2000 Linwood Ave Unit 6O,Fort Lee,NJ,07024,399000,2,2.0,Fort Lee,,,,22,,,Active,,,http://www.redfin.com/NJ/Fort-Lee/2000-Linwood-Ave-07024/unit-6O/home/61657313,NJMLS,20032967,N,Y,40.8539851,-73.9739119
MLS Listing,,Condo/Co-op,1512 Palisade Ave Unit 18N,Fort Lee,NJ,07024,1425000,3,3.5,Fort Lee,2200,,,22,648,,Active,,,http://www.redfin.com/NJ/Fort-Lee/1512-Palisade-Ave-07024/unit-18N/home/35736207,NJMLS,20032870,N,Y,40.8457311,-73.970055
MLS Listing,,Townhouse,100 Old Palisade Rd Unit PL12,Fort Lee,NJ,07024,799000,3,3.0,Fort Lee,2279,,,22,351,,Active,,,http://www.redfin.com/NJ/Fort-Lee/100-Old-Palisade-Rd-07024/unit-PL12/home/35667643,NJMLS,20032851,N,Y,40.8474563,-73.9670188
MLS Listing,,Single Family Residential,1002 Harvard Pl,Fort Lee,NJ,07024,769000,3,2.5,Fort Lee,,4199,,23,,,Active,,,http://www.redfin.com/NJ/Fort-Lee/1002-Harvard-Pl-07024/home/35733537,NJMLS,20032813,N,Y,40.8345235,-73.9862398
MLS Listing,,Multi-Family (2-4 Unit),407 North Ave,Fort Lee,NJ,07024,998000,7,3.0,Fort Lee,,5981,,23,,,Active,,,http://www.redfin.com/NJ/Fort-Lee/407-North-Ave-07024/home/35737215,NJMLS,20032712,N,Y,40.8508884,-73.9774703
MLS Listing,,Condo/Co-op,555 North Ave Unit 6K,Fort Lee,NJ,07024,229000,2,2.0,Fort Lee,975,,,23,235,,Active,,,http://www.redfin.com/NJ/Fort-Lee/555-North-Ave-07024/unit-6K/home/172700472,NJMLS,20032678,N,Y,40.8539526,-73.9823601
MLS Listing,,Condo/Co-op,1500 Palisade Ave Unit 15E,Fort Lee,NJ,07024,749000,2,2.0,Fort Lee,1900,,,23,394,,Active,,,http://www.redfin.com/NJ/Fort-Lee/1500-Palisade-Ave-07024/unit-15E/home/59915083,NJMLS,20032644,N,Y,40.8449251,-73.9714325
MLS Listing,,Townhouse,121 Victoria Pl,Fort Lee,NJ,07024,899000,4,3.5,Fort Lee,,,,23,,,Active,,,http://www.redfin.com/NJ/Fort-Lee/121-Victoria-Pl-W-07024/home/35734408,NJMLS,20032633,N,Y,40.8296228,-73.97791
MLS Listing,,Condo/Co-op,1512 Palisade Ave Unit 3B,Fort Lee,NJ,07024,820000,3,2.5,Fort Lee,2020,,,23,406,,Active,,,http://www.redfin.com/NJ/Fort-Lee/1512-Palisade-Ave-07024/unit-3B/home/35736235,NJMLS,20032602,N,Y,40.8457311,-73.970055
MLS Listing,,Condo/Co-op,2077 Center Ave Unit 8J,Fort Lee,NJ,07024,230000,2,2.0,Fort Lee,1389,,,24,166,,Active,,,http://www.redfin.com/NJ/Fort-Lee/2077-Center-Ave-07024/unit-8J/home/171818329,NJMLS,20032595,N,Y,40.8545254,-73.9714784
MLS Listing,,Condo/Co-op,555 North Ave Unit 21J,Fort Lee,NJ,07024,245000,2,2.0,Fort Lee,975,,,24,251,,Active,,,http://www.redfin.com/NJ/Fort-Lee/555-North-Ave-07024/unit-21J/home/165592743,NJMLS,20032561,N,Y,40.8539526,-73.9823601
MLS Listing,,Condo/Co-op,1600 Parker Ave Unit 27G,Fort Lee,NJ,07024,549000,3,2.5,Fort Lee,1996,,,24,275,,Active,,,http://www.redfin.com/NJ/Fort-Lee/1600-Parker-Ave-07024/unit-27G/home/172696170,NJMLS,20032518,N,Y,40.8478531,-73.9684479
